timestamp,open,high,low,close,volume
1740960000000,73.4,73.4,73.4,73.4,0
1740960060000,73.4,73.4,73.4,73.4,0
1740960120000,73.4,73.4,73.4,73.4,0
1740960180000,73.4,73.4,73.4,73.4,0
1740960240000,73.4,73.4,73.4,73.4,0
1740960300000,73.4,73.4,73.4,73.4,0
1740960360000,73.4,73.4,73.4,73.4,0
1740960420000,73.4,73.4,73.4,73.4,0
1740960480000,73.4,73.4,73.4,73.4,0
1740960540000,73.4,73.4,73.4,73.4,0
1740960600000,73.4,73.4,73.4,73.4,0
1740960660000,73.4,73.4,73.4,73.4,0
1740960720000,73.4,73.4,73.4,73.4,0
1740960780000,73.4,73.4,73.4,73.4,0
1740960840000,73.4,73.4,73.4,73.4,0
1740960900000,73.4,73.4,73.4,73.4,0
1740960960000,73.4,73.4,73.4,73.4,0
1740961020000,73.4,73.4,73.4,73.4,0
1740961080000,73.4,73.4,73.4,73.4,0
1740961140000,73.4,73.4,73.4,73.4,0
1740961200000,73.4,73.4,73.4,73.4,0
1740961260000,73.4,73.4,73.4,73.4,0
1740961320000,73.4,73.4,73.4,73.4,0
1740961380000,73.4,73.4,73.4,73.4,0
1740961440000,73.4,73.4,73.4,73.4,0
1740961500000,73.4,73.4,73.4,73.4,0
1740961560000,73.4,73.4,73.4,73.4,0
1740961620000,73.4,73.4,73.4,73.4,0
1740961680000,73.4,73.4,73.4,73.4,0
1740961740000,73.4,73.4,73.4,73.4,0
1740961800000,73.4,73.4,73.4,73.4,0
1740961860000,73.4,73.4,73.4,73.4,0
1740961920000,73.4,73.4,73.4,73.4,0
1740961980000,73.4,73.4,73.4,73.4,0
1740962040000,73.4,73.4,73.4,73.4,0
1740962100000,73.4,73.4,73.4,73.4,0
1740962160000,73.4,73.4,73.4,73.4,0
1740962220000,73.4,73.4,73.4,73.4,0
1740962280000,73.4,73.4,73.4,73.4,0
1740962340000,73.4,73.4,73.4,73.4,0
1740962400000,73.4,73.4,73.4,73.4,0
1740962460000,73.4,73.4,73.4,73.4,0
1740962520000,73.4,73.4,73.4,73.4,0
1740962580000,73.4,73.4,73.4,73.4,0
1740962640000,73.4,73.4,73.4,73.4,0
1740962700000,73.4,73.4,73.4,73.4,0
1740962760000,73.4,73.4,73.4,73.4,0
1740962820000,73.4,73.4,73.4,73.4,0
1740962880000,73.4,73.4,73.4,73.4,0
1740962940000,73.4,73.4,73.4,73.4,0
1740963000000,73.4,73.4,73.4,73.4,0
1740963060000,73.4,73.4,73.4,73.4,0
1740963120000,73.4,73.4,73.4,73.4,0
1740963180000,73.4,73.4,73.4,73.4,0
1740963240000,73.4,73.4,73.4,73.4,0
1740963300000,73.4,73.4,73.4,73.4,0
1740963360000,73.4,73.4,73.4,73.4,0
1740963420000,73.4,73.4,73.4,73.4,0
1740963480000,73.4,73.4,73.4,73.4,0
1740963540000,73.4,73.4,73.4,73.4,0
1740963600000,73.345,73.45,73.33,73.4,0.006359
1740963660000,73.395,73.455,73.37,73.45,0.002902
1740963720000,73.445,73.465,73.435,73.455,0.003303
1740963780000,73.46,73.505,73.455,73.495,0.00437
1740963840000,73.5,73.51,73.485,73.495,0.001359
1740963900000,73.485,73.555,73.485,73.535,0.002615
1740963960000,73.54,73.555,73.505,73.505,0.001274
1740964020000,73.495,73.505,73.495,73.5,0.000617
1740964080000,73.505,73.505,73.495,73.495,0.000702
1740964140000,73.505,73.505,73.495,73.495,0.000189
1740964200000,73.5,73.505,73.495,73.495,0.000729
1740964260000,73.505,73.505,73.495,73.505,0.000567
1740964320000,73.5,73.505,73.495,73.505,0.000891
1740964380000,73.505,73.505,73.505,73.505,0
1740964440000,73.525,73.54,73.505,73.505,0.000896
1740964500000,73.515,73.53,73.51,73.515,0.000927
1740964560000,73.505,73.505,73.505,73.505,0.000068
1740964620000,73.495,73.51,73.495,73.505,0.001053
1740964680000,73.515,73.525,73.515,73.525,0.000108
1740964740000,73.52,73.555,73.52,73.555,0.000495
1740964800000,73.55,73.56,73.55,73.56,0.000414
1740964860000,73.565,73.565,73.565,73.565,0.000054
1740964920000,73.56,73.58,73.555,73.58,0.000581
1740964980000,73.585,73.585,73.545,73.55,0.000945
1740965040000,73.545,73.575,73.545,73.575,0.000666
1740965100000,73.585,73.585,73.575,73.575,0.000392
1740965160000,73.57,73.57,73.565,73.565,0.000338
1740965220000,73.57,73.57,73.565,73.565,0.000252
1740965280000,73.575,73.585,73.565,73.585,0.00054
1740965340000,73.58,73.585,73.555,73.56,0.000729
1740965400000,73.565,73.565,73.555,73.565,0.000662
1740965460000,73.56,73.57,73.555,73.57,0.000765
1740965520000,73.565,73.575,73.545,73.545,0.001607
1740965580000,73.54,73.575,73.54,73.565,0.000554
1740965640000,73.555,73.555,73.55,73.555,0.000446
1740965700000,73.55,73.555,73.55,73.555,0.000189
1740965760000,73.555,73.555,73.555,73.555,0
1740965820000,73.545,73.555,73.545,73.555,0.000459
1740965880000,73.55,73.55,73.52,73.52,0.001035
1740965940000,73.525,73.555,73.52,73.545,0.001053
1740966000000,73.55,73.55,73.525,73.53,0.00094
1740966060000,73.525,73.54,73.525,73.525,0.000572
1740966120000,73.52,73.525,73.515,73.515,0.001268
1740966180000,73.52,73.525,73.515,73.515,0.001472
1740966240000,73.52,73.52,73.475,73.475,0.001808
1740966300000,73.465,73.465,73.45,73.455,0.000446
1740966360000,73.465,73.485,73.465,73.48,0.001211
1740966420000,73.475,73.48,73.475,73.48,0.00108
1740966480000,73.485,73.52,73.485,73.52,0.001607
1740966540000,73.525,73.535,73.515,73.515,0.000711
1740966600000,73.52,73.525,73.515,73.525,0.000423
1740966660000,73.515,73.525,73.515,73.525,0.000473
1740966720000,73.52,73.545,73.515,73.54,0.00099
1740966780000,73.545,73.555,73.54,73.55,0.000518
1740966840000,73.545,73.545,73.535,73.535,0.00032
1740966900000,73.54,73.55,73.535,73.545,0.000576
1740966960000,73.545,73.545,73.545,73.545,0
1740967020000,73.55,73.555,73.545,73.555,0.000216
1740967080000,73.55,73.555,73.545,73.545,0.000374
