timestamp,open,high,low,close,volume
1740873600000,70.05,70.05,70.05,70.05,0
1740873660000,70.05,70.05,70.05,70.05,0
1740873720000,70.05,70.05,70.05,70.05,0
1740873780000,70.05,70.05,70.05,70.05,0
1740873840000,70.05,70.05,70.05,70.05,0
1740873900000,70.05,70.05,70.05,70.05,0
1740873960000,70.05,70.05,70.05,70.05,0
1740874020000,70.05,70.05,70.05,70.05,0
1740874080000,70.05,70.05,70.05,70.05,0
1740874140000,70.05,70.05,70.05,70.05,0
1740874200000,70.05,70.05,70.05,70.05,0
1740874260000,70.05,70.05,70.05,70.05,0
1740874320000,70.05,70.05,70.05,70.05,0
1740874380000,70.05,70.05,70.05,70.05,0
1740874440000,70.05,70.05,70.05,70.05,0
1740874500000,70.05,70.05,70.05,70.05,0
1740874560000,70.05,70.05,70.05,70.05,0
1740874620000,70.05,70.05,70.05,70.05,0
1740874680000,70.05,70.05,70.05,70.05,0
1740874740000,70.05,70.05,70.05,70.05,0
1740874800000,70.05,70.05,70.05,70.05,0
1740874860000,70.05,70.05,70.05,70.05,0
1740874920000,70.05,70.05,70.05,70.05,0
1740874980000,70.05,70.05,70.05,70.05,0
1740875040000,70.05,70.05,70.05,70.05,0
1740875100000,70.05,70.05,70.05,70.05,0
1740875160000,70.05,70.05,70.05,70.05,0
1740875220000,70.05,70.05,70.05,70.05,0
1740875280000,70.05,70.05,70.05,70.05,0
1740875340000,70.05,70.05,70.05,70.05,0
1740875400000,70.05,70.05,70.05,70.05,0
1740875460000,70.05,70.05,70.05,70.05,0
1740875520000,70.05,70.05,70.05,70.05,0
1740875580000,70.05,70.05,70.05,70.05,0
1740875640000,70.05,70.05,70.05,70.05,0
1740875700000,70.05,70.05,70.05,70.05,0
1740875760000,70.05,70.05,70.05,70.05,0
1740875820000,70.05,70.05,70.05,70.05,0
1740875880000,70.05,70.05,70.05,70.05,0
1740875940000,70.05,70.05,70.05,70.05,0
1740876000000,70.05,70.05,70.05,70.05,0
1740876060000,70.05,70.05,70.05,70.05,0
1740876120000,70.05,70.05,70.05,70.05,0
1740876180000,70.05,70.05,70.05,70.05,0
1740876240000,70.05,70.05,70.05,70.05,0
1740876300000,70.05,70.05,70.05,70.05,0
