timestamp,open,high,low,close
1741824000000,2937.925,2938.275,2937.855,2937.855
1741824060000,2937.855,2938.385,2937.855,2938.275
1741824120000,2938.275,2938.355,2937.975,2938.085
1741824180000,2938.055,2938.585,2938.055,2938.105
1741824240000,2938.108,2938.505,2937.875,2937.875
1741824300000,2937.955,2938.015,2937.665,2937.985
1741824360000,2937.955,2938.015,2937.805,2937.915
1741824420000,2937.915,2938.005,2937.655,2937.695
1741824480000,2937.695,2937.835,2937.605,2937.695
1741824540000,2937.685,2937.955,2937.635,2937.845
1741824600000,2937.845,2938.135,2937.805,2937.845
1741824660000,2937.845,2937.955,2937.845,2937.855
1741824720000,2937.855,2938.155,2937.848,2937.955
1741824780000,2937.648,2938.035,2937.448,2937.465
1741824840000,2937.465,2938.065,2937.455,2938.055
1741824900000,2938.055,2938.055,2937.415,2937.755
1741824960000,2937.735,2937.985,2937.605,2937.865
1741825020000,2937.845,2938.275,2937.755,2937.905
1741825080000,2937.925,2938.195,2937.915,2938.165
1741825140000,2938.145,2938.365,2937.685,2938.325
1741825200000,2938.335,2938.635,2938.285,2938.625
1741825260000,2938.815,2938.945,2938.495,2938.575
1741825320000,2938.665,2939.195,2938.595,2938.935
1741825380000,2938.955,2938.955,2938.455,2938.555
1741825440000,2938.505,2938.595,2938.138,2938.138
1741825500000,2938.138,2938.548,2938.018,2938.448
1741825560000,2938.375,2938.705,2938.375,2938.535
1741825620000,2938.485,2938.755,2938.485,2938.685
1741825680000,2938.705,2938.705,2938.315,2938.385
1741825740000,2938.355,2938.565,2938.225,2938.385
1741825800000,2938.345,2938.425,2937.935,2937.935
1741825860000,2937.935,2938.425,2937.935,2938.195
1741825920000,2938.165,2938.625,2938.085,2938.595
1741825980000,2938.565,2938.595,2938.135,2938.395
1741826040000,2938.375,2938.395,2938.085,2938.335
1741826100000,2938.345,2939.035,2938.345,2938.438
1741826160000,2938.278,2938.355,2938.108,2938.245
1741826220000,2938.205,2938.265,2938.075,2938.075
1741826280000,2938.075,2938.275,2938.065,2938.148
1741826340000,2938.148,2938.385,2938.048,2938.285
1741826400000,2938.315,2938.315,2938.148,2938.155
1741826460000,2938.185,2938.348,2937.885,2937.885
1741826520000,2937.915,2937.985,2937.665,2937.665
1741826580000,2937.685,2937.828,2937.638,2937.708
1741826640000,2937.685,2937.785,2937.428,2937.535
1741826700000,2937.545,2937.785,2937.485,2937.598
1741826760000,2937.598,2937.698,2937.485,2937.575
1741826820000,2937.575,2938.185,2937.545,2938.025
1741826880000,2938.045,2938.115,2937.885,2938.095
1741826940000,2938.089,2938.185,2938.005,2938.165
1741827000000,2938.148,2938.355,2937.895,2938.248
1741827060000,2938.248,2938.348,2937.448,2937.665
1741827120000,2937.655,2937.665,2937.405,2937.448
1741827180000,2937.448,2937.735,2937.348,2937.585
1741827240000,2937.545,2937.965,2937.495,2937.935
1741827300000,2937.935,2938.065,2937.825,2937.905
1741827360000,2937.935,2938.305,2937.935,2938.275
1741827420000,2938.255,2938.475,2938.235,2938.345
1741827480000,2938.355,2938.375,2938.015,2938.275
1741827540000,2938.538,2938.675,2938.305,2938.425
1741827600000,2938.475,2939.825,2938.148,2939.825
1741827660000,2939.785,2940.148,2939.595,2939.935
