timestamp,open,high,low,close
1741564800000,69.842,69.852,69.822,69.847
1741564860000,69.842,69.847,69.827,69.842
1741564920000,69.852,69.852,69.842,69.847
1741564980000,69.842,69.872,69.842,69.872
1741565040000,69.867,69.882,69.862,69.882
1741565100000,69.887,69.947,69.887,69.942
1741565160000,69.952,69.962,69.952,69.962
1741565220000,69.952,69.982,69.942,69.982
1741565280000,69.972,69.972,69.952,69.952
1741565340000,69.957,69.972,69.952,69.972
1741565400000,69.967,69.967,69.952,69.957
1741565460000,69.952,69.962,69.952,69.962
1741565520000,69.967,69.982,69.962,69.982
1741565580000,69.977,69.982,69.972,69.977
1741565640000,69.972,69.977,69.962,69.967
1741565700000,69.962,69.982,69.952,69.977
1741565760000,69.972,69.987,69.962,69.982
1741565820000,69.987,70.017,69.982,70.017
1741565880000,70.012,70.012,69.997,69.997
1741565940000,69.992,70.022,69.992,70.012
1741566000000,70.017,70.022,70.012,70.022
1741566060000,70.042,70.042,70.032,70.037
1741566120000,70.032,70.037,70.012,70.012
1741566180000,70.007,70.017,70.007,70.012
1741566240000,70.017,70.017,69.992,70.007
1741566300000,70.012,70.012,69.992,69.992
1741566360000,69.987,69.992,69.987,69.992
1741566420000,69.997,70.002,69.992,69.992
1741566480000,69.997,70.017,69.997,70.017
1741566540000,70.022,70.022,70.002,70.007
1741566600000,70.012,70.017,70.002,70.017
1741566660000,70.012,70.052,70.012,70.052
1741566720000,70.057,70.072,70.052,70.072
1741566780000,70.062,70.072,70.062,70.072
1741566840000,70.067,70.067,70.057,70.057
1741566900000,70.052,70.062,70.052,70.052
1741566960000,70.057,70.057,70.052,70.057
1741567020000,70.052,70.057,70.037,70.037
1741567080000,70.047,70.062,70.047,70.062
1741567140000,70.057,70.057,70.052,70.057
1741567200000,70.052,70.052,70.032,70.032
1741567260000,70.022,70.032,70.002,70.032
1741567320000,70.037,70.052,70.032,70.052
1741567380000,70.047,70.062,70.047,70.052
1741567440000,70.028,70.028,70.028,70.028
1741567500000,70.033,70.062,70.033,70.062
1741567560000,70.072,70.102,70.072,70.102
1741567620000,70.112,70.132,70.112,70.117
1741567680000,70.122,70.122,70.117,70.117
1741567740000,70.112,70.112,70.092,70.097
1741567800000,70.092,70.127,70.092,70.127
1741567860000,70.122,70.137,70.122,70.137
1741567920000,70.132,70.142,70.132,70.132
1741567980000,70.142,70.142,70.122,70.142
1741568040000,70.122,70.127,70.117,70.117
1741568100000,70.122,70.137,70.122,70.132
1741568160000,70.137,70.152,70.137,70.137
1741568220000,70.142,70.142,70.122,70.122
1741568280000,70.122,70.122,70.122,70.122
1741568340000,70.127,70.132,70.122,70.127
1741568400000,70.147,70.155,70.05,70.055
1741568460000,70.065,70.115,70.065,70.105
1741568520000,70.11,70.165,70.11,70.155
1741568580000,70.16,70.165,70.14,70.155
1741568640000,70.15,70.155,70.135,70.15
1741568700000,70.145,70.15,70.135,70.15
1741568760000,70.145,70.15,70.135,70.145
1741568820000,70.135,70.15,70.125,70.145
1741568880000,70.135,70.155,70.135,70.155
1741568940000,70.16,70.16,70.135,70.145
1741569000000,70.15,70.16,70.145,70.145
1741569060000,70.15,70.175,70.145,70.175
1741569120000,70.185,70.185,70.165,70.165
1741569180000,70.16,70.18,70.16,70.175
1741569240000,70.18,70.18,70.155,70.155
1741569300000,70.16,70.165,70.13,70.13
1741569360000,70.125,70.125,70.105,70.115
1741569420000,70.125,70.13,70.105,70.105
1741569480000,70.095,70.095,70.075,70.075
1741569540000,70.07,70.075,70.035,70.04
1741569600000,70.045,70.065,70.04,70.055
1741569660000,70.05,70.05,70.045,70.045
1741569720000,70.04,70.04,70.005,70.005
1741569780000,70.01,70.015,69.97,69.975
1741569840000,69.98,69.99,69.975,69.99
1741569900000,69.985,70.03,69.985,70.025
1741569960000,70.02,70.02,70.005,70.005
1741570020000,70.01,70.015,70.005,70.015
