timestamp,open,high,low,close
1741737600000,2915.148,2915.248,2914.428,2914.858
1741737660000,2914.878,2914.978,2914.408,2914.478
1741737720000,2914.518,2914.605,2914.338,2914.428
1741737780000,2914.478,2914.478,2913.815,2914.038
1741737840000,2914.028,2914.465,2913.948,2914.295
1741737900000,2914.318,2914.425,2914.158,2914.368
1741737960000,2914.338,2914.338,2913.938,2914.045
1741738020000,2914.008,2914.265,2913.958,2913.998
1741738080000,2914.005,2914.215,2913.758,2913.858
1741738140000,2913.898,2913.938,2913.758,2913.768
1741738200000,2913.758,2914.225,2913.648,2913.785
1741738260000,2913.685,2913.745,2913.295,2913.545
1741738320000,2913.495,2913.865,2913.375,2913.845
1741738380000,2913.855,2913.855,2913.695,2913.755
1741738440000,2913.775,2913.775,2913.415,2913.475
1741738500000,2913.585,2913.835,2913.545,2913.725
1741738560000,2913.695,2913.925,2913.595,2913.835
1741738620000,2913.855,2914.115,2913.825,2913.965
1741738680000,2913.955,2914.035,2913.805,2913.895
1741738740000,2913.865,2913.905,2913.415,2913.455
1741738800000,2913.655,2913.735,2913.595,2913.735
1741738860000,2913.655,2913.655,2913.405,2913.585
1741738920000,2913.645,2913.798,2913.505,2913.718
1741738980000,2913.695,2913.888,2913.428,2913.468
1741739040000,2913.458,2913.598,2913.208,2913.568
1741739100000,2913.558,2914.178,2913.548,2913.865
1741739160000,2913.855,2913.918,2913.725,2913.775
1741739220000,2913.835,2913.885,2913.668,2913.735
1741739280000,2913.748,2914.088,2913.638,2913.968
1741739340000,2914.018,2914.535,2913.855,2914.038
1741739400000,2913.968,2914.305,2913.725,2914.305
1741739460000,2914.245,2914.285,2914.025,2914.145
1741739520000,2914.188,2914.435,2914.095,2914.305
1741739580000,2914.335,2914.385,2913.828,2914.355
1741739640000,2914.365,2914.425,2914.145,2914.325
1741739700000,2914.295,2914.345,2914.208,2914.345
1741739760000,2914.365,2914.415,2914.065,2914.065
1741739820000,2914.045,2914.045,2913.065,2913.075
1741739880000,2913.055,2913.175,2912.725,2912.755
1741739940000,2912.775,2913.045,2912.655,2912.705
1741740000000,2912.685,2912.685,2912.395,2912.595
1741740060000,2912.675,2912.675,2912.048,2912.158
1741740120000,2912.125,2912.325,2911.875,2912.175
1741740180000,2912.115,2912.565,2912.005,2912.515
1741740240000,2912.555,2913.305,2912.515,2913.265
1741740300000,2913.225,2913.265,2912.795,2912.915
1741740360000,2912.925,2912.995,2912.645,2912.785
1741740420000,2912.765,2912.945,2912.335,2912.845
1741740480000,2912.815,2913.268,2912.755,2913.218
1741740540000,2913.188,2913.348,2912.948,2913.048
1741740600000,2913.048,2913.248,2912.778,2913.048
1741740660000,2913.348,2913.648,2913.148,2913.348
1741740720000,2913.348,2913.355,2912.848,2912.848
1741740780000,2912.848,2913.025,2912.848,2912.848
1741740840000,2912.769,2913.168,2912.548,2913.168
1741740900000,2913.158,2913.408,2912.958,2913.398
1741740960000,2913.398,2913.885,2913.195,2913.865
1741741020000,2913.875,2914.075,2913.585,2914.075
1741741080000,2914.055,2914.245,2913.908,2914.225
1741741140000,2914.225,2914.335,2913.855,2914.085
1741741200000,2914.035,2914.115,2912.615,2912.898
1741741260000,2912.985,2913.028,2912.448,2912.655
1741741320000,2912.655,2912.835,2912.245,2912.348
1741741380000,2912.365,2912.365,2911.595,2912.075
1741741440000,2912.095,2912.398,2911.665,2911.665
1741741500000,2911.618,2912.248,2911.478,2911.875
1741741560000,2911.875,2912.248,2911.475,2911.788
1741741620000,2911.788,2911.788,2911.148,2911.675
1741741680000,2911.675,2911.845,2911.305,2911.785
1741741740000,2911.825,2912.225,2911.775,2911.815
1741741800000,2911.875,2911.895,2911.245,2911.735
1741741860000,2911.735,2911.735,2911.058,2911.058
1741741920000,2911.058,2911.258,2910.558,2910.698
1741741980000,2910.698,2911.068,2910.558,2911.028
1741742040000,2910.985,2911.295,2910.698,2911.265
1741742100000,2911.345,2912.675,2911.225,2912.555
1741742160000,2912.555,2912.585,2912.025,2912.185
1741742220000,2912.185,2912.535,2911.995,2912.505
1741742280000,2912.525,2913.055,2912.425,2912.975
1741742340000,2913.005,2913.025,2912.425,2912.535
1741742400000,2912.575,2912.705,2912.075,2912.175
1741742460000,2912.285,2912.485,2912.145,2912.365
1741742520000,2912.375,2913.065,2912.345,2913.005
1741742580000,2913.065,2913.665,2912.855,2913.575
1741742640000,2913.525,2914.295,2913.375,2914.195
1741742700000,2914.185,2914.465,2913.695,2913.995
1741742760000,2914.029,2914.685,2913.975,2914.205
1741742820000,2914.195,2914.685,2914.105,2914.565
1741742880000,2914.535,2915.065,2914.475,2914.665
1741742940000,2914.675,2914.675,2914.435,2914.525
1741743000000,2914.525,2915.005,2914.285,2914.505
1741743060000,2914.485,2915.285,2914.305,2915.025
1741743120000,2915.045,2915.405,2914.755,2915.025
1741743180000,2915.045,2915.705,2915.045,2915.635
1741743240000,2915.605,2916.355,2915.605,2915.895
1741743300000,2915.855,2916.035,2915.465,2915.755
1741743360000,2915.775,2916.195,2915.525,2916.195
1741743420000,2916.175,2917.185,2916.065,2917.185
1741743480000,2917.155,2917.185,2916.435,2916.585
1741743540000,2916.575,2916.805,2916.255,2916.285
1741743600000,2916.255,2916.485,2915.865,2915.925
1741743660000,2915.905,2916.155,2915.605,2915.625
1741743720000,2915.475,2915.565,2914.725,2914.765
1741743780000,2914.745,2915.085,2914.645,2914.955
1741743840000,2915.015,2915.855,2914.885,2915.715
1741743900000,2915.725,2915.905,2915.605,2915.845
1741743960000,2915.815,2915.875,2915.315,2915.315
1741744020000,2915.255,2916.155,2915.245,2915.905
1741744080000,2916.005,2916.415,2915.745,2916.375
1741744140000,2916.435,2916.705,2916.145,2916.495
1741744200000,2916.475,2916.515,2916.055,2916.195
1741744260000,2916.145,2916.325,2915.855,2915.975
1741744320000,2915.985,2916.425,2915.215,2915.278
1741744380000,2915.258,2915.458,2915.018,2915.158
1741744440000,2915.198,2915.308,2914.258,2914.608
