post_id,data_pagina,ora_pagina_pacific,testo,url,timestamp_utc,sequenza,ora_da_id_pacific,data_da_id_pacific,scarto_minuti,verificato
115208143657180249,2025-09-15,07:46,"The NFL has to get rid of that ridiculous looking new Kickoff Rule. How can they make such a big and sweeping change so easily and quickly. It's at least as dangerous as the ""normal"" kickoff, and looks like hell. The ball is moving, and the players are not, the exact opposite of what football is all about. ""Sissy"" football is bad for America, and bad for the NFL! Who comes up with these ridiculous ideas? It's like wanting to ""roll back"" the golf ball so it doesn't go (nearly!) as far. Fortunately, college football will remain the same, hopefully forever!!",https://truthsocial.com/@realDonaldTrump/posts/115208143657180249,2025-09-15 11:46:02.347000+00:00,7257,04:46,2025-09-15,180.0,False
115208219886830624,2025-09-15,08:05,"Subject to SEC Approval, Companies and Corporations should no longer be forced to ""Report"" on a quarterly basis (Quarterly Reporting!), but rather to Report on a ""Six (6) Month Basis."" This will save money, and allow managers to focus on properly running their companies. Did you ever hear the statement that, ""China has a 50 to 100 year view on management of a company, whereas we run our companies on a quarterly basis???"" Not good!!!",https://truthsocial.com/@realDonaldTrump/posts/115208219886830624,2025-09-15 12:05:25.519000+00:00,17440,05:05,2025-09-15,180.0,False
115208260926006345,2025-09-15,08:15,"The big Trade Meeting in Europe between The United States of America, and China, has gone VERY WELL! It will be concluding shortly. A deal was also reached on a ""certain"" company that young people in our Country very much wanted to save. They will be very happy! I will be speaking to President Xi on Friday. The relationship remains a very strong one!!! President DJT",https://truthsocial.com/@realDonaldTrump/posts/115208260926006345,2025-09-15 12:15:51.727000+00:00,25673,05:15,2025-09-15,180.0,False
115208353139528932,2025-09-15,08:39,"""Too Late"" MUST CUT INTEREST RATES, NOW, AND BIGGER THAN HE HAD IN MIND. HOUSING WILL SOAR!!! President DJT",https://truthsocial.com/@realDonaldTrump/posts/115208353139528932,2025-09-15 12:39:18.794000+00:00,5348,05:39,2025-09-15,180.0,False
115208428190944040,2025-09-15,08:58,https://truthsocial.com/@realDonaldTrump/115206570863756188,https://truthsocial.com/@realDonaldTrump/posts/115208428190944040,2025-09-15 12:58:23.987000+00:00,52008,05:58,2025-09-15,180.0,False
115209308362990527,2025-09-15,12:42,"MY son Eric's just out book, ""UNDER SIEGE,"" immediately went to NUMBER ONE on Amazon. Great going Eric, you deserve it!!! a.co/d/7oPyLF5",https://truthsocial.com/@realDonaldTrump/posts/115209308362990527,2025-09-15 16:42:14.347000+00:00,25535,09:42,2025-09-15,180.0,False
115209549037822166,2025-09-15,13:43,"Congressional Republicans, including Leader John Thune and Speaker Mike Johnson, are working on a short term ""CLEAN"" extension of Government Funding to stop Cryin' Chuck Schumer from shutting down the Government. In times like these, Republicans have to stick TOGETHER to fight back against the Radical Left Democrat demands, and vote ""YES!"" on both Votes needed to pass a Clean CR this week out of the House of Representatives. Democrats want the Government to shut down. Republicans want the Government to OPEN. Democrats love CRIME, Republicans make our Country SAFE — WE HATE CRIME. FAILURE IS NOT AN OPTION. Thank you for your attention to this matter! President DJTVideo -- https://1a-1791.com/video/fww1/c3/s8/2/Q/j/k/i/Qjkiz.caa.mp4?b=1&u=ummtf",https://truthsocial.com/@realDonaldTrump/posts/115209549037822166,2025-09-15 17:43:26.753000+00:00,57558,10:43,2025-09-15,180.0,False
115210075167747572,2025-09-15,15:57,"This morning, on my Orders, U.S. Military Forces conducted a SECOND Kinetic Strike against positively identified, extraordinarily violent drug trafficking cartels and narcoterrorists in the SOUTHCOM area of responsibility. The Strike occurred while these confirmed narcoterrorists from Venezuela were in International Waters transporting illegal narcotics (A DEADLY WEAPON POISONING AMERICANS!) headed to the U.S. These extremely violent drug trafficking cartels POSE A THREAT to U.S. National Security, Foreign Policy, and vital U.S. Interests. The Strike resulted in 3 male terrorists killed in action. No U.S. Forces were harmed in this Strike. BE WARNED — IF YOU ARE TRANSPORTING DRUGS THAT CAN KILL AMERICANS, WE ARE HUNTING YOU! The illicit activities by these cartels have wrought DEVASTATING CONSEQUENCES ON AMERICAN COMMUNITIES FOR DECADES, killing millions of American Citizens. NO LONGER. Thank you for your attention to this matter!!!Video -- https://1a-1791.com/video/fww1/b5/s8/2/q/D/m/i/qDmiz.caa.mp4?b=1&u=ummtf",https://truthsocial.com/@realDonaldTrump/posts/115210075167747572,2025-09-15 19:57:14.859000+00:00,28148,12:57,2025-09-15,180.0,False
115210251262068973,2025-09-15,16:42,"I have just read a News Report that Hamas has moved the hostages above ground to use them as human shields against Israel's ground offensive. I hope the Leaders of Hamas know what they're getting into if they do such a thing. This is a human atrocity, the likes of which few people have ever seen before. Don't let this happen or, ALL ""BETS"" ARE OFF. RELEASE ALL HOSTAGES NOW!",https://truthsocial.com/@realDonaldTrump/posts/115210251262068973,2025-09-15 20:42:01.845000+00:00,35053,13:42,2025-09-15,180.0,False
115210542156462323,2025-09-15,17:56,"Today, at the request of Governor Bill Lee of Tennessee, I signed a Presidential Memorandum to establish the Memphis Safe Task Force… Memorandum: whitehouse.gov/presidential-ac Video -- https://1a-1791.com/video/fww1/75/s8/2/m/x/o/i/mxoiz.caa.mp4?b=1&u=ummtf",https://truthsocial.com/@realDonaldTrump/posts/115210542156462323,2025-09-15 21:56:00.541000+00:00,47347,14:56,2025-09-15,180.0,False
